GPU available: True
Carga datasets
	Tiny Shakespeare
	Wikitext-2
Longitud corpus train: 10039821 caracteres
Longitud corpus valid: 1053455 caracteres
Longitud corpus test: 1186126 caracteres
Número total de tokens: 2524860
Número total de tokens: 266679
Preparando DataLoader
Se invoca el modelo
TRAIN
Iteracciones: 39449
  [Batch 31700] Loss: 9.1381
  [Batch 31800] Loss: 9.1323
  [Batch 31900] Loss: 9.1430
  [Batch 32000] Loss: 9.1390
  [Batch 32100] Loss: 9.1387
  [Batch 32200] Loss: 9.1256
  [Batch 32300] Loss: 9.1320
  [Batch 32400] Loss: 9.1206
  [Batch 32500] Loss: 9.1331
  [Batch 32600] Loss: 9.1234
  [Batch 32700] Loss: 9.1391
  [Batch 32800] Loss: 9.1195
  [Batch 32900] Loss: 9.1388
  [Batch 33000] Loss: 9.1278
  [Batch 33100] Loss: 9.1242
  [Batch 33200] Loss: 9.1314
  [Batch 33300] Loss: 9.1336
  [Batch 33400] Loss: 9.1059
  [Batch 33500] Loss: 9.1233
  [Batch 33600] Loss: 9.1330
  [Batch 33700] Loss: 9.1124
  [Batch 33800] Loss: 9.1297
  [Batch 33900] Loss: 9.1052
  [Batch 34000] Loss: 9.1034
  [Batch 34100] Loss: 9.1133
  [Batch 34200] Loss: 9.1066
  [Batch 34300] Loss: 9.1247
  [Batch 34400] Loss: 9.1084
  [Batch 34500] Loss: 9.1083
  [Batch 34600] Loss: 9.0869
  [Batch 34700] Loss: 9.1037
  [Batch 34800] Loss: 9.0950
  [Batch 34900] Loss: 9.1108
  [Batch 35000] Loss: 9.0904
  [Batch 35100] Loss: 9.0873
  [Batch 35200] Loss: 9.1004
  [Batch 35300] Loss: 9.0884
  [Batch 35400] Loss: 9.0903
  [Batch 35500] Loss: 9.0809
  [Batch 35600] Loss: 9.0841
  [Batch 35700] Loss: 9.0838
  [Batch 35800] Loss: 9.0794
  [Batch 35900] Loss: 9.0888
  [Batch 36000] Loss: 9.0749
  [Batch 36100] Loss: 9.0707
  [Batch 36200] Loss: 9.0744
  [Batch 36300] Loss: 9.0796
  [Batch 36400] Loss: 9.0656
  [Batch 36500] Loss: 9.0598
  [Batch 36600] Loss: 9.0851
  [Batch 36700] Loss: 9.0669
  [Batch 36800] Loss: 9.0683
  [Batch 36900] Loss: 9.0719
  [Batch 37000] Loss: 9.0679
  [Batch 37100] Loss: 9.0669
  [Batch 37200] Loss: 9.0767
  [Batch 37300] Loss: 9.0611
  [Batch 37400] Loss: 9.0674
  [Batch 37500] Loss: 9.0609
  [Batch 37600] Loss: 9.0597
  [Batch 37700] Loss: 9.0663
  [Batch 37800] Loss: 9.0608
  [Batch 37900] Loss: 9.0349
  [Batch 38000] Loss: 9.0549
  [Batch 38100] Loss: 9.0558
  [Batch 38200] Loss: 9.0454
  [Batch 38300] Loss: 9.0547
  [Batch 38400] Loss: 9.0378
  [Batch 38500] Loss: 9.0510
  [Batch 38600] Loss: 9.0433
  [Batch 38700] Loss: 9.0295
  [Batch 38800] Loss: 9.0522
  [Batch 38900] Loss: 9.0488
  [Batch 39000] Loss: 9.0312
  [Batch 39100] Loss: 9.0339
  [Batch 39200] Loss: 9.0239
  [Batch 39300] Loss: 9.0238
  [Batch 39400] Loss: 9.0277
[Epoch 1] Train Loss: 9.2407 | Train PPL: 10308.76 | Val PPL: 8325.62
Iteracciones: 39449
  [Batch 100] Loss: 9.0245
  [Batch 200] Loss: 9.0233
  [Batch 300] Loss: 9.0032
  [Batch 400] Loss: 8.9884
  [Batch 500] Loss: 9.0210
  [Batch 600] Loss: 9.0156
  [Batch 700] Loss: 8.9757
  [Batch 800] Loss: 9.0024
  [Batch 900] Loss: 9.0098
  [Batch 1000] Loss: 8.9871
  [Batch 1100] Loss: 8.9985
  [Batch 1200] Loss: 9.0034
  [Batch 1300] Loss: 8.9744
  [Batch 1400] Loss: 8.9596
  [Batch 1500] Loss: 8.9877
  [Batch 1600] Loss: 8.9548
  [Batch 1700] Loss: 8.9621
  [Batch 1800] Loss: 8.9584
  [Batch 1900] Loss: 8.9409
  [Batch 2000] Loss: 8.9523
  [Batch 2100] Loss: 8.9583
  [Batch 2200] Loss: 8.9417
  [Batch 2300] Loss: 8.9135
  [Batch 2400] Loss: 8.9203
  [Batch 2500] Loss: 8.9231
  [Batch 2600] Loss: 8.9276
  [Batch 2700] Loss: 8.9212
  [Batch 2800] Loss: 8.9117
  [Batch 2900] Loss: 8.9154
  [Batch 3000] Loss: 8.8964
  [Batch 3100] Loss: 8.8953
  [Batch 3200] Loss: 8.8978
  [Batch 3300] Loss: 8.8991
  [Batch 3400] Loss: 8.8959
  [Batch 3500] Loss: 8.8826
  [Batch 3600] Loss: 8.8780
  [Batch 3700] Loss: 8.8456
  [Batch 3800] Loss: 8.8718
  [Batch 3900] Loss: 8.8665
  [Batch 4000] Loss: 8.8757
  [Batch 4100] Loss: 8.8526
  [Batch 4200] Loss: 8.8229
  [Batch 4300] Loss: 8.8099
  [Batch 4400] Loss: 8.8151
  [Batch 4500] Loss: 8.8346
  [Batch 4600] Loss: 8.8119
  [Batch 4700] Loss: 8.8006
  [Batch 4800] Loss: 8.8223
  [Batch 4900] Loss: 8.7881
  [Batch 5000] Loss: 8.7741
  [Batch 5100] Loss: 8.7914
  [Batch 5200] Loss: 8.7887
  [Batch 5300] Loss: 8.7802
  [Batch 5400] Loss: 8.7746
  [Batch 5500] Loss: 8.7739
  [Batch 5600] Loss: 8.7310
  [Batch 5700] Loss: 8.7836
  [Batch 5800] Loss: 8.7546
  [Batch 5900] Loss: 8.7216
  [Batch 6000] Loss: 8.7190
  [Batch 6100] Loss: 8.7218
  [Batch 6200] Loss: 8.7008
  [Batch 6300] Loss: 8.7394
  [Batch 6400] Loss: 8.7005
  [Batch 6500] Loss: 8.7365
  [Batch 6600] Loss: 8.6885
  [Batch 6700] Loss: 8.7237
  [Batch 6800] Loss: 8.6916
  [Batch 6900] Loss: 8.6983
  [Batch 7000] Loss: 8.6687
  [Batch 7100] Loss: 8.6650
  [Batch 7200] Loss: 8.6664
  [Batch 7300] Loss: 8.6632
  [Batch 7400] Loss: 8.6896
  [Batch 7500] Loss: 8.6290
  [Batch 7600] Loss: 8.6517
  [Batch 7700] Loss: 8.6347
  [Batch 7800] Loss: 8.6387
  [Batch 7900] Loss: 8.6360
  [Batch 8000] Loss: 8.6170
  [Batch 8100] Loss: 8.6201
  [Batch 8200] Loss: 8.6031
  [Batch 8300] Loss: 8.6242
  [Batch 8400] Loss: 8.5800
  [Batch 8500] Loss: 8.5761
  [Batch 8600] Loss: 8.5933
  [Batch 8700] Loss: 8.5793
  [Batch 8800] Loss: 8.5784
  [Batch 8900] Loss: 8.5607
  [Batch 9000] Loss: 8.5687
  [Batch 9100] Loss: 8.5335
  [Batch 9200] Loss: 8.5405
  [Batch 9300] Loss: 8.5131
  [Batch 9400] Loss: 8.5580
  [Batch 9500] Loss: 8.5331
  [Batch 9600] Loss: 8.5209
  [Batch 9700] Loss: 8.5188
  [Batch 9800] Loss: 8.4967
  [Batch 9900] Loss: 8.5194
  [Batch 10000] Loss: 8.4812
  [Batch 10100] Loss: 8.4924
  [Batch 10200] Loss: 8.4500
  [Batch 10300] Loss: 8.4576
  [Batch 10400] Loss: 8.4644
  [Batch 10500] Loss: 8.4672
  [Batch 10600] Loss: 8.4372
  [Batch 10700] Loss: 8.4438
  [Batch 10800] Loss: 8.4600
  [Batch 10900] Loss: 8.4338
  [Batch 11000] Loss: 8.4375
  [Batch 11100] Loss: 8.4034
  [Batch 11200] Loss: 8.3983
  [Batch 11300] Loss: 8.4188
  [Batch 11400] Loss: 8.3863
  [Batch 11500] Loss: 8.4049
  [Batch 11600] Loss: 8.3947
  [Batch 11700] Loss: 8.3896
  [Batch 11800] Loss: 8.3656
  [Batch 11900] Loss: 8.3876
  [Batch 12000] Loss: 8.3491
  [Batch 12100] Loss: 8.3527
  [Batch 12200] Loss: 8.3487
  [Batch 12300] Loss: 8.3697
  [Batch 12400] Loss: 8.3509
  [Batch 12500] Loss: 8.3414
  [Batch 12600] Loss: 8.3409
  [Batch 12700] Loss: 8.3187
  [Batch 12800] Loss: 8.3316
  [Batch 12900] Loss: 8.3205
  [Batch 13000] Loss: 8.3017
  [Batch 13100] Loss: 8.3143
  [Batch 13200] Loss: 8.2639
  [Batch 13300] Loss: 8.2540
  [Batch 13400] Loss: 8.2991
  [Batch 13500] Loss: 8.2816
  [Batch 13600] Loss: 8.2783
  [Batch 13700] Loss: 8.2573
